"filename", "language", "Svelte", "JSON with Comments", "JavaScript", "TypeScript", "HTML", "XML", "CSS", "JSON", "Log", "comment", "blank", "total"
"c:\Users\Usuario\escuela\app.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 696, 0, 1, 697
"c:\Users\Usuario\escuela\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 5569, 0, 0, 1, 5570
"c:\Users\Usuario\escuela\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 1, 52
"c:\Users\Usuario\escuela\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Usuario\escuela\src\app.css", "CSS", 0, 0, 0, 0, 0, 0, 102, 0, 0, 21, 23, 146
"c:\Users\Usuario\escuela\src\app.d.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 6, 4, 22
"c:\Users\Usuario\escuela\src\app.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Usuario\escuela\src\hooks.server.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 2, 8, 51
"c:\Users\Usuario\escuela\src\lib\classes\errors.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6, 3, 15
"c:\Users\Usuario\escuela\src\lib\classes\responses.classes.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\Usuario\escuela\src\lib\components\Captcha\Captcha.svelte", "Svelte", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
"c:\Users\Usuario\escuela\src\lib\components\Captcha\svg-captcha\index.d.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 94, 1, 119
"c:\Users\Usuario\escuela\src\lib\components\Captcha\svg-captcha\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Usuario\escuela\src\lib\components\Captcha\svg-captcha\lib\ch-to-path.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 2, 10, 46
"c:\Users\Usuario\escuela\src\lib\components\Captcha\svg-captcha\lib\char-preset.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Usuario\escuela\src\lib\components\Captcha\svg-captcha\lib\index.ts", "TypeScript", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 15, 83
"c:\Users\Usuario\escuela\src\lib\components\Captcha\svg-captcha\lib\option-manager.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Usuario\escuela\src\lib\components\Captcha\svg-captcha\lib\random.ts", "TypeScript", 0, 0, 0, 112, 0, 0, 0, 0, 0, 12, 24, 148
"c:\Users\Usuario\escuela\src\lib\components\Dropdown\Dropdown.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Usuario\escuela\src\lib\components\Messages\Alert.svelte", "Svelte", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Usuario\escuela\src\lib\components\Messages\AlertError.svelte", "Svelte", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Usuario\escuela\src\lib\components\Messages\AlertSuccess.svelte", "Svelte", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Usuario\escuela\src\lib\components\Messages\AlertWarning.svelte", "Svelte", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\Usuario\escuela\src\lib\components\Navbar\Navbar.svelte", "Svelte", 150, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23, 180
"c:\Users\Usuario\escuela\src\lib\components\Navbar\navbarItems.ts", "TypeScript", 0, 0, 0, 90, 0, 0, 0, 0, 0, 1, 6, 97
"c:\Users\Usuario\escuela\src\lib\database\index.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 4, 35
"c:\Users\Usuario\escuela\src\lib\database\migrations\00001_usuarios.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Usuario\escuela\src\lib\database\migrations\00002_pregseg.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Usuario\escuela\src\lib\database\migrations\00003_sessions.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Usuario\escuela\src\lib\database\migrations\00004_empleados.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 6, 40
"c:\Users\Usuario\escuela\src\lib\database\migrations\00005_justificaciones.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\Usuario\escuela\src\lib\database\migrations\00006_asistencias.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 10, 4, 31
"c:\Users\Usuario\escuela\src\lib\database\migrator.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 10, 55
"c:\Users\Usuario\escuela\src\lib\database\repositories\asistencias.repository.ts", "TypeScript", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 9, 102
"c:\Users\Usuario\escuela\src\lib\database\repositories\empleados.repository.ts", "TypeScript", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 10, 112
"c:\Users\Usuario\escuela\src\lib\database\repositories\justificaciones.repository.ts", "TypeScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 10, 79
"c:\Users\Usuario\escuela\src\lib\database\repositories\preg_seg.repository.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Users\Usuario\escuela\src\lib\database\repositories\sessions.repository.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\Usuario\escuela\src\lib\database\repositories\types.repository.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Usuario\escuela\src\lib\database\repositories\user.repository.ts", "TypeScript", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 7, 82
"c:\Users\Usuario\escuela\src\lib\database\types.ts", "TypeScript", 0, 0, 0, 112, 0, 0, 0, 0, 0, 8, 22, 142
"c:\Users\Usuario\escuela\src\lib\handlers\backup.handler.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 1, 10, 57
"c:\Users\Usuario\escuela\src\lib\handlers\justificaciones.handler.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 2, 11, 65
"c:\Users\Usuario\escuela\src\lib\handlers\login.handler.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 0, 0, 0, 3, 20, 106
"c:\Users\Usuario\escuela\src\lib\handlers\pregseg.handler.ts", "TypeScript", 0, 0, 0, 99, 0, 0, 0, 0, 0, 1, 22, 122
"c:\Users\Usuario\escuela\src\lib\handlers\register.handler.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Users\Usuario\escuela\src\lib\handlers\types.handler.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Usuario\escuela\src\lib\images\icons\admin_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\administrar_asistencias_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\administrar_justificaciones_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\administrar_usuario_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\backup_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\borrar_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\camara_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\cancelar_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\check_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\chevron_left.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\chevron_right.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\chevron_right_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\copy_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\database_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\departamentos_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\details_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\donaciones_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\donantes_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\edit_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\email_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\error_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\folder_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\historial_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\home_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\horarios.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\lastname_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\login.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\login_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\logout_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\menu_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\name_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\permisos_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\personalizar_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\pwd_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\pwd_recovery.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\question_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\read_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\recovery.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\register.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\register_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\renew_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\search_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\success_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\trabajadores.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\username_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\warning_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\images\icons\write_icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Usuario\escuela\src\lib\index.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\Usuario\escuela\src\lib\utils\asyncHandler.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Usuario\escuela\src\lib\utils\capitlizeFirstLetter.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Usuario\escuela\src\lib\utils\generateUUID.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 1, 11
"c:\Users\Usuario\escuela\src\lib\utils\getAge.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Usuario\escuela\src\lib\utils\getFormData.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Usuario\escuela\src\lib\utils\getId.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Usuario\escuela\src\lib\utils\hashPwd.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Usuario\escuela\src\lib\utils\logger.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 3, 23
"c:\Users\Usuario\escuela\src\lib\utils\validators.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 0, 0, 0, 6, 15, 104
"c:\Users\Usuario\escuela\src\routes\(app)\+layout.server.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Usuario\escuela\src\routes\(app)\+layout.svelte", "Svelte", 83, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 105
"c:\Users\Usuario\escuela\src\routes\(app)\+page.svelte", "Svelte", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Usuario\escuela\src\routes\(app)\asistencias\+page.server.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\Usuario\escuela\src\routes\(app)\asistencias\+page.svelte", "Svelte", 177, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24, 203
"c:\Users\Usuario\escuela\src\routes\(app)\asistencias\+server.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\Usuario\escuela\src\routes\(app)\asistencias\AsistenciaPreview.svelte", "Svelte", 167, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22, 192
"c:\Users\Usuario\escuela\src\routes\(app)\departamentos\+page.server.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\Usuario\escuela\src\routes\(app)\departamentos\+page.svelte", "Svelte", 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 195
"c:\Users\Usuario\escuela\src\routes\(app)\departamentos\FilterSelect.svelte", "Svelte", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"c:\Users\Usuario\escuela\src\routes\(app)\empleados\+page.server.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 14, 74
"c:\Users\Usuario\escuela\src\routes\(app)\empleados\+page.svelte", "Svelte", 312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 339
"c:\Users\Usuario\escuela\src\routes\(app)\empleados\FilterSelect.svelte", "Svelte", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"c:\Users\Usuario\escuela\src\routes\(app)\empleados\[empleado]\+page.server.ts", "TypeScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 16, 77
"c:\Users\Usuario\escuela\src\routes\(app)\empleados\[empleado]\+page.svelte", "Svelte", 189, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24, 219
"c:\Users\Usuario\escuela\src\routes\(app)\empleados\[empleado]\AsistenciasContent.svelte", "Svelte", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Usuario\escuela\src\routes\(app)\empleados\[empleado]\CreateIDModal.svelte", "Svelte", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 139
"c:\Users\Usuario\escuela\src\routes\(app)\empleados\[empleado]\CreateJustificacionModal.svelte", "Svelte", 157, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31, 194
"c:\Users\Usuario\escuela\src\routes\(app)\empleados\[empleado]\GeneralContent.svelte", "Svelte", 291, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30, 326
"c:\Users\Usuario\escuela\src\routes\(app)\empleados\[empleado]\JustificacionesContent.svelte", "Svelte", 102, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 121
"c:\Users\Usuario\escuela\src\routes\(app)\empleados\create\+page.server.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\Usuario\escuela\src\routes\(app)\empleados\create\+page.svelte", "Svelte", 163, 0, 0, 0, 0, 0, 0, 0, 0, 11, 21, 195
"c:\Users\Usuario\escuela\src\routes\(app)\empleados\create\Select.svelte", "Svelte", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"c:\Users\Usuario\escuela\src\routes\(app)\justificaciones\+page.server.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Usuario\escuela\src\routes\(app)\justificaciones\+page.svelte", "Svelte", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Usuario\escuela\src\routes\(app)\justificaciones\[justificacion]\+page.server.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 9, 37
"c:\Users\Usuario\escuela\src\routes\(app)\justificaciones\[justificacion]\+page.svelte", "Svelte", 106, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 126
"c:\Users\Usuario\escuela\src\routes\(app)\logout\+server.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Usuario\escuela\src\routes\(app)\settings\+layout.server.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Usuario\escuela\src\routes\(app)\settings\account\+page.server.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 2, 10, 55
"c:\Users\Usuario\escuela\src\routes\(app)\settings\account\+page.svelte", "Svelte", 180, 0, 0, 0, 0, 0, 0, 0, 0, 23, 29, 232
"c:\Users\Usuario\escuela\src\routes\(app)\settings\backup\+page.server.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\Usuario\escuela\src\routes\(app)\settings\backup\+page.svelte", "Svelte", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 132
"c:\Users\Usuario\escuela\src\routes\(app)\settings\look\+page.svelte", "Svelte", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Usuario\escuela\src\routes\(app)\settings\users\+page.server.ts", "TypeScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 11, 70
"c:\Users\Usuario\escuela\src\routes\(app)\settings\users\+page.svelte", "Svelte", 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 184
"c:\Users\Usuario\escuela\src\routes\(public)\auth\+page.server.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Usuario\escuela\src\routes\(public)\auth\+page.svelte", "Svelte", 408, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63, 478
"c:\Users\Usuario\escuela\src\routes\(public)\auth\+server.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Usuario\escuela\svelte.config.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 5, 20
"c:\Users\Usuario\escuela\tailwind.config.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\Usuario\escuela\tsconfig.json", "JSON with Comments", 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 1, 20
"c:\Users\Usuario\escuela\vite.config.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 3, 19
"Total", "-", 3342, 14, 15, 2214, 13, 47, 102, 5620, 696, 274, 904, 13241